residual_name,freq,type,reason,residual_values(top15),cand1_ref,cand1_values,宏基因组相关,合并到(据字典),饼图分类,通用(meta-analysis)
latitude,345872,numeric,纬度，官方 latitude and longitude,-2.63501(14371) ; 32.5(8902) ; 40.127(6635) ; 40.01(6585) ; 40.015(4462) ; 32.842(4431) ; 32.842674(3869) ; 51.5(3534) ; 32.84(3431) ; -33.45(3186) ; 32.8(2934) ; 41.47(2756) ; 38.65(2386) ; 32.7157(2369) ; 37.09(2325),latitude and longitude,,,规范键(其他并入它),时空/环境,是
ArrayExpress-Species,343985,freetext/high-card,值=物种，归顶层 organism 字段,Danio rerio(24033) ; Staphylococcus aureus(20955) ; Mus musculus(18442) ; Homo sapiens(15567) ; Saccharomyces cerevisiae(15344) ; Streptococcus pneumoniae(14923) ; Mus Musculus(12741) ; Plasmodium falciparum(12110) ; Escherichia coli(11181) ; Campylobacter sp.(7870) ; Mycobacterium tuberculosis(7732) ; Homo Sapien(6401) ; Neisseria meningitidis(5991) ; Klebsiella pneumoniae(4036) ; Campylobacter jejuni(3585),sub species,subsp. aestivum(1914) ; admixed-ind(815) ; trj(684) ; ind2(664) ; ind3(567) ; tej(539) ; admixed-jap(415) ; aus(376) ; Hordeum vulgare subsp. vulgare(355) ; familiaris(336) ; Gp3(316) ; enterica(301) ; ind1(278) ; Gp4(232) ; Gallus gallus gallus(127),,独立键(仅自身),样本来源/材料,是
cemba_id,320568,freetext/high-card,项目私有样本id(CEMBA脑图谱)，无对应,4B(2881) ; 1B(2838) ; 5H(2708) ; 2E(2698) ; 11F(2687) ; 3A(2676) ; 6A(2676) ; 8E(2673) ; 6B(2664) ; 1C(2649) ; 5G(2641) ; 9J(2611) ; 4F(2605) ; 5E(2604) ; 6D(2584),GISAID accession,EPI_ISL_775021(2) ; EPI_ISL_775022(2) ; EPI_ISL_775023(2) ; EPI_ISL_775024(2) ; EPI_ISL_775025(2) ; EPI_ISL_775026(2) ; EPI_ISL_775027(2) ; EPI_ISL_775028(2) ; EPI_ISL_671595(2) ; EPI_ISL_1922126(2) ; EPI_ISL_436097(2) ; EPI_ISL_2604841(2) ; EPI_ISL_1167307(2) ; EPI_ISL_1167299(2) ; EPI_ISL_1167304(2),,独立键(仅自身),提交/数据库管理,否
collection_timestamp,296874,freetext/high-card,采集时间戳，官方 collection date,2011(5408) ; 2016(3783) ; Missing: Not provided(3049) ; 2017(2004) ; 1/1/59 0:00(1546) ; 10/13/14(1535) ; 2014(1312) ; 5/7/15 0:00(1119) ; 1/1/14 0:00(1117) ; 2015(949) ; 2013(942) ; 2012(927) ; 1/1/59(851) ; 2010(830) ; 9/1/11(779),sample collection time duration value,,,独立键(仅自身),时空/环境,是
time,291247,freetext/high-card,时间点(24h/t2等)，官方 timepoint,8(2954) ; 6(2384) ; 11(2300) ; 5(2227) ; 0(2116) ; 24h(1826) ; 0h(1082) ; 48h(1074) ; 4(1060) ; D0 (without RFA)(1045) ; t2(896) ; 12(836) ; 2(784) ; 24(746) ; 2 hr(739),timepoint,1(11032) ; 0(10057) ; P7(5485) ; 2(5478) ; 48h(4947) ; 4(3931) ; 3(3689) ; KP_30w_ND(3208) ; P1(3194) ; T1(3025) ; E18.5(2852) ; 6h(2570) ; T2(2451) ; P21(2379) ; 24h(2261),,独立键(仅自身),时空/环境,是
physical_specimen_location,288551,freetext/high-card,标本存放地，官方 sample storage location / biospecimen repository,"UCSDMI(66955) ; University of Notre Dame(14371) ; NYU(12398) ; ANL(8918) ; UC Davis(5612) ; Cornell U(5105) ; Pawlowski Lab(3917) ; U Chicago(3593) ; CCME(3576) ; NYUMC(3368) ; Cambridge, MD(3315) ; Wash U(2516) ; NAU(2309) ; U Toronto(2250) ; UCSD(2156)",specifications,,,独立键(仅自身),提交/数据库管理,否
dna_extracted,282384,categorical,布尔标志，无 canonical,TRUE(128162) ; True(41173) ; true(22219) ; Yes(5731) ; 1(969) ; y(456) ; YES(379) ; n(284) ; FALSE(226) ; yes(129) ; False(112) ; 10/1/16 12:00(88) ; not yet(22) ; No(6) ; LabControl test(1),pooling of DNA extracts,,,独立键(仅自身),测序/基因组/分析,否
physical_specimen_remaining,281433,categorical,布尔标志，无 canonical,"FALSE(66555) ; TRUE(66010) ; True(21204) ; true(17531) ; False(16273) ; Yes(6088) ; missing: not provided(3147) ; false(2686) ; 0(375) ; SecondGenome(60) ; n(43) ; University of Washington, Seattle(28) ; No(16) ; yes(9) ; TRUEes(1)",experimental specimen role type,,,独立键(仅自身),提交/数据库管理,否
GISAID Accession ID,258877,freetext/high-card,官方 GISAID accession,EPI_ISL_581816(5) ; EPI_ISL_581943(3) ; EPI_ISL_581968(3) ; EPI_ISL_581987(3) ; EPI_ISL_830740(3) ; EPI_ISL_830737(3) ; EPI_ISL_830736(3) ; EPI_ISL_830738(3) ; EPI_ISL_830739(3) ; EPI_ISL_896091(3) ; EPI_ISL_896116(3) ; EPI_ISL_581920(3) ; EPI_ISL_896101(3) ; EPI_ISL_896102(3) ; EPI_ISL_930962(3),GISAID accession,EPI_ISL_775021(2) ; EPI_ISL_775022(2) ; EPI_ISL_775023(2) ; EPI_ISL_775024(2) ; EPI_ISL_775025(2) ; EPI_ISL_775026(2) ; EPI_ISL_775027(2) ; EPI_ISL_775028(2) ; EPI_ISL_671595(2) ; EPI_ISL_1922126(2) ; EPI_ISL_436097(2) ; EPI_ISL_2604841(2) ; EPI_ISL_1167307(2) ; EPI_ISL_1167299(2) ; EPI_ISL_1167304(2),,合并→ GISAID accession,提交/数据库管理,否
habitat,251171,freetext/high-card,生境(Woodland等)，弱挂 broad-scale environmental context,"Woodland(2705) ; Terrestrial(844) ; Marine(550) ; Freshwater(518) ; Rough grass(515) ; water(447) ; Other(404) ; Root(334) ; Riverine(297) ; arboreal(293) ; land(277) ; Woodland, grassland, hedges(236) ; soil(230) ; seagrass(214) ; Exposed rocky foreshore (rockpools and boulders on sandstone pavement)(213)",body habitat,UBERON:feces(53865) ; UBERON:skin(12717) ; UBERON:oral cavity(6002) ; UBERON:multicellular organism(2300) ; UBERON:gastro-intestinal system(1550) ; UBERON:gastrointestinal system(1463) ; UBERON:stomach(1390) ; UBERON:egg(626) ; Skin(612) ; UBERON:multi-cellular organism(542) ; UBERON:gut(477) ; UBERON:cecum(446) ; UBERON:respiratory system(364) ; UBERON:nostril(355) ; UBERON:genito-urinary system(297),,独立键(仅自身),时空/环境,是
geographic location (elevation),250661,numeric,海拔数值，官方 elevation,0(10885) ; 150(2561) ; 1(2177) ; 10(1994) ; 542.5(1345) ; 615(1312) ; 0-10(1231) ; 444(1173) ; 50(1167) ; 38(1086) ; 15(1073) ; 100(1016) ; 25(949) ; 11(930) ; 5(899),geographic location,,,合并→ elevation,时空/环境,是
batch,247563,freetext/high-card,处理批次，无 canonical,1(7897) ; 2(6400) ; batch_2(3170) ; 3(3079) ; batch_1(2385) ; 4(2101) ; b2(1476) ; b4(1452) ; b3(1356) ; b5(1344) ; b6(1152) ; b1(1042) ; batch1(867) ; batch_3(837) ; batch3(697),water catchment area population measurement,,,独立键(仅自身),提交/数据库管理,否
Replicate,246904,freetext/high-card,生物学重复，同 replicate,1(10281) ; 2(8888) ; R00(7208) ; 3(6178) ; Replicate1(2132) ; 4(1814) ; biological replicate 1(1782) ; biological replicate 2(1579) ; biological replicate 3(1360) ; A(1299) ; B(1088) ; 5(1014) ; C(943) ; Replicate 1(736) ; Replicate 2(734),technical sample replicate,,,独立键(仅自身),测序/基因组/分析,否
anatomical_part,234758,categorical,官方 host anatomical part,Nasopharynx (NP)(9470) ; Anterior Nares(6336) ; Nasopharynx(1076) ; Oropharynx (OP)(2) ; Placenta(1),host anatomical part,Nasal(38253) ; Nasopharynx (NP)(7652) ; Nasal Cavity(88) ; Oral cavity; Anus(56) ; nasopharynx(17) ; lung(16) ; Intestine(12) ; Anus(10) ; Middle Nasal Turbinate(5) ; Oropharynx (OP)(2) ; Trachea(1),,合并→ host anatomical part,样本来源/材料,是
identifier_affiliation,233664,freetext/high-card,机构隶属，机构名簇,University of Oxford(2817) ; Independent(2223) ; ROYAL BOTANIC GARDEN EDINBURGH(1539) ; MARINE BIOLOGICAL ASSOCIATION(1241) ; University of Nottingham(546) ; Environment Agency(469) ; NATURAL HISTORY MUSEUM(464) ; SANGER INSTITUTE(436) ; ROYAL BOTANIC GARDENS KEW(433) ; University of Edinburgh(396) ; CCAP(312) ; University of Exeter(258) ; MARINE BIOLOGICAL ASSOCIATION | MARINE BIOLOGICAL ASSOCIATION(249) ; NHM(219) ; CEAB-CSIC(212),identified by,"Heyu Lin(2088) ; INMEGEN(1837) ; Tsurusaki, N(1482) ; MAARTEN J. M. CHRISTENHUSZ(1083) ; Maarten J. M. Christenhusz(931) ; RFLP-PCR assay of COI fragment(887) ; Douglas Boyes(833) ; J. A. Castillo Vardaro(705) ; Telleasha Greay(655) ; DAVID BELL(647) ; Joaquin Ortego(560) ; Elijah Juma(560) ; ANGUS DAVISON(546) ; Steven Falk(536) ; SD Schoville(532)",,独立键(仅自身),提交/数据库管理,否
tolid,233383,freetext/high-card,Tree of Life 私有id(Sanger)，无对应,xgCorAspe14(40) ; xgCorAspe13(36) ; xgCorAspe10(34) ; bAccGen1(31) ; xgCorAspe8(31) ; xgCorAspe11(30) ; xgCorAspe12(29) ; ddBraNigr1(25) ; ddBraNigr2(25) ; ddBraNigr3(25) ; xgCorAspe15(24) ; wpGlyTrid1(23) ; uoThaRotu1(21) ; piColStei1(21) ; uhDiaLuth1(21),suspended solids,,,独立键(仅自身),提交/数据库管理,否
GAL,232540,categorical,Genome Acquisition Lab 机构名，机构名簇,Sanger Institute(3646) ; University of Oxford(2846) ; Royal Botanic Gardens Kew(2838) ; Natural History Museum(2105) ; Royal Botanic Garden Edinburgh(1773) ; Marine Biological Association(1708) ; Geomar Helmholtz Centre(671) ; Nova Southeastern University(514) ; University of Derby(204) ; Dalhousie University(44) ; Queen Mary University of London(20),alkalinity,"Missing: Not Provided(180) ; Missing: Not provided(96) ; 2317.5915492957747(72) ; 11-Oct(68) ; 6.6 ? 0.8(62) ; 6.9 ? 0.1(62) ; 6.6 ? 1.0(58) ; #N/A(47) ; Missing: Not collected(46) ; 5.8 ? 0.6(46) ; #N/B(40) ; 0,29(38) ; 2200(30) ; ND(28) ; not collecte(24)",,独立键(仅自身),提交/数据库管理,否
GAL_sample_id,231745,freetext/high-card,GAL 样本id，归 sample name,SAN0001347(39) ; SAN0001346(35) ; SAN0001343(33) ; SAN0001365(30) ; SAN3000202(30) ; SAN0001341(30) ; SAN0001344(29) ; SAN0001345(28) ; JoeLopez NSU22601(24) ; KDTOL10230(24) ; KDTOL10231(24) ; KDTOL10232(24) ; SAN0001348(23) ; CCAP1085/20(20) ; CCAP1615/3(20),gap sample id,190606(39) ; 188924(14) ; 198354(11) ; 192492(10) ; 192542(9) ; 194917(7) ; 188662(3) ; 188660(3) ; 274575(3) ; 119227(3) ; 200727(3) ; 200048(3) ; 196342(3) ; 194338(3) ; 193239(3),,独立键(仅自身),提交/数据库管理,否
tmp,224194,numeric,临时/垃圾列，丢弃,1(1407) ; 2(1388) ; 3(1347) ; 4(1246) ; 5(1196) ; 6(1146) ; 7(1064) ; 8(1047) ; 9(1020) ; 10(979) ; 11(954) ; 12(941) ; 13(865) ; 14(854) ; 15(832),wet mass,,,独立键(仅自身),提交/数据库管理,否
sequence_type,207124,numeric,MLST ST 号，字典缺，建议新增,11(20804) ; 19(5431) ; 34(4846) ; 152(3558) ; 245(2805) ; 32(2106) ; Novel(1879) ; 1(1807) ; 13(1403) ; 21(1151) ; 36(958) ; 22(929) ; 121(922) ; 29(912) ; 50(898),sequenced by,United States Department of Agriculture|Food Safety and Inspection Service(62021) ; FL(15689) ; United States Food and Drug Administration| Center for Food Safety and Applied Nutrition(15064) ; TX(11707) ; FDA Contracted Laboratory(11104) ; Laboratoire de Sante publique du Quebec (INSPQ)(9741) ; CA(8442) ; MN(8103) ; OH(8042) ; NY(7965) ; VA(7925) ; TN(7849) ; Illumina(6970) ; NC(6818) ; WI(6245),,独立键(仅自身),测序/基因组/分析,否
chip antibody,204801,freetext/high-card,ChIP 抗体，字典缺，建议新增,"H3K4me3, Millipore 04-745, lot:3243412, H3K27me3,millipore 07-449, #3146226(6993) ; H3K27ac(4728) ; H3K36me3, Active motif, Cat. 61101(3273) ; H3K27ac, Abcam, ab4729, Lot: GR3205526-1(2980) ; H3K27ac, Abcam, ab4729, Lot: GR3211959-1(2165) ; none (input)(1664) ; H3K4me3(1635) ; H3K27me3(1363) ; RNA PolII, abcam, ab5408, Lot:GR205997-15(852) ; input(828) ; H3K4me1(804) ; H3K27ac (Abcam, ab4729)(707) ; Input(539) ; ERG(471) ; H3K27Ac(412)",plant body site,root(3267) ; rhizosphere(1549) ; leaves(684) ; leaf(628) ; petal(601) ; Root(588) ; vegetative shoot system(576) ; non-vascular leaf [PO:0025075](461) ; soil(435) ; fine root(280) ; seed(264) ; Leaf(260) ; Rhizosphere(241) ; Soil(217) ; PO:bark(200),,独立键(仅自身),测序/基因组/分析,否
specimen_id,201544,freetext/high-card,标本id，归 specimen voucher / sample name,KDTOL00125(7) ; KDTOL00126(7) ; KDTOL00127(7) ; UDUK0000079(6) ; NHMUK_20200309_3(5) ; NHMUK_20200309_1(5) ; KDTOL00124(5) ; BW1-3(4) ; spalax_976(4) ; spalax_600(4) ; mouse_512(4) ; mouse_1023(4) ; mouse_1019(4) ; spalax_2230(4) ; spalax_2240(4),specimen voucher,"DAV(463) ; 15(132) ; 0(101) ; Experiments made use of destructive sampling method but sample seeds from each line is kept in pure stocks at Texas Tech University.(97) ; National Genomics Center for Wildlife and Fish Conservation laboratory collection, Missoula, MT., USA(96) ; JR 500 (NFLD)(56) ; not_applicable(45) ; Library preparation negative control(45) ; 1(39) ; SD(37) ; Bombus impatiens(36) ; Bombus griseocollis(35) ; Extraction negative control(34) ; MELU(33) ; 2(32)",,独立键(仅自身),提交/数据库管理,否
potential_contaminant,201410,freetext/high-card,污染物检测，无 canonical,None detected(84115) ; not_checked(7800) ; Shigella flexneri K-218(525) ; Listeria monocytogenes FSL F2-515(457) ; Shigella sonnei Ss046 uid58217(396) ; Morganella morganii subsp. morganii KT(221) ; Shigella flexneri 2a 301 uid62907(174) ; Listeria monocytogenes J1 220 uid179735(162) ; Shigella flexneri 2002017 uid159233(134) ; Campylobacter jejuni NCTC 11168 BN148 uid174152(117) ; Salmonella enterica subsp II salamae(113) ; Escherichia coli clone D i2 uid162047(91) ; Escherichia coli K 12 substr W3110 uid161931(77) ; Listeria monocytogenes FSL N1-017(72) ; Escherichia coli SE15 uid161939(69),surface-air contaminant,,,独立键(仅自身),测序/基因组/分析,否
target gene,200865,freetext/high-card,扩增子靶标(16S/ITS)，MIMARKS字段，字典缺，建议新增,16S rRNA(19806) ; 16S(9847) ; 18S(7749) ; 16S rRNA gene(4708) ; ITS(4409) ; 16s rRNA(2585) ; 18S_rRNA(2435) ; V4(2197) ; SSU rRNA(1927) ; 18S rRNA(1734) ; 16S rDNA(1477) ; ITS rRNA(1293) ; ITS1(1122) ; ITS2(1033) ; 16s(884),wastewater surveillance target 2 gene,,,独立键(仅自身),测序/基因组/分析,否
sample_id,199686,freetext/high-card,样本id，官方 sample name,1(64) ; 2(62) ; 3(62) ; 11(58) ; 4(57) ; 10(57) ; 12(57) ; 5(56) ; 6(56) ; 13(56) ; 14(55) ; 15(55) ; 16(55) ; 17(53) ; 20(53),gap sample id,190606(39) ; 188924(14) ; 198354(11) ; 192492(10) ; 192542(9) ; 194917(7) ; 188662(3) ; 188660(3) ; 274575(3) ; 119227(3) ; 200727(3) ; 200048(3) ; 196342(3) ; 194338(3) ; 193239(3),,独立键(仅自身),提交/数据库管理,否
